Instance    SplitMode    OrderMode    Decrescent      Solution Quality %    Exec. Time       Median    Standard deviation    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %
OKP3        MAX_AREA     AREA         True                       91.85     0.000166702  0.000163794           8.42856e-06       91.85      8.15            30               6               24          20                  80
OKP3        MAX_AREA     AREA         False                      49.96     0.00020771   0.000202179           1.26136e-05       49.96     50.04            30               8               22          26.6667             73.3333
OKP3        MAX_AREA     PERIMETER    True                       92.62     0.000212288  0.000207186           1.13198e-05       92.62      7.38            30               8               22          26.6667             73.3333
OKP3        MAX_AREA     PERIMETER    False                      51.9      0.000187588  0.000183582           7.39851e-06       51.9      48.1             30               7               23          23.3333             76.6667
OKP3        MAX_AREA     HEIGHT       True                       89.4      0.000273132  0.000267267           1.15051e-05       89.4      10.6             30              10               20          33.3333             66.6667
OKP3        MAX_AREA     HEIGHT       False                      56.46     0.000249624  0.000234842           4.90621e-05       56.46     43.54            30               9               21          30                  70
OKP3        MAX_AREA     WIDTH        True                       85.68     0.000181341  0.000177622           1.02676e-05       85.68     14.32            30               8               22          26.6667             73.3333
OKP3        MAX_AREA     WIDTH        False                      70.75     0.000296021  0.000290394           1.3685e-05        70.75     29.25            30              11               19          36.6667             63.3333
OKP3        MAX_AREA     ID           True                       68.48     0.00018425   0.000181198           1.03303e-05       68.48     31.52            30               7               23          23.3333             76.6667
OKP3        MAX_AREA     ID           False                      75.88     0.000209808  0.000203133           1.25246e-05       75.88     24.12            30               8               22          26.6667             73.3333
OKP4        MAX_AREA     AREA         True                       66.14     0.00015831   0.000155449           9.43969e-06       66.14     33.86            61               6               55           9.83607            90.1639
OKP4        MAX_AREA     AREA         False                      73.77     0.000670385  0.000658989           2.32994e-05       73.77     26.23            61              23               38          37.7049             62.2951
OKP4        MAX_AREA     PERIMETER    True                       90.99     0.000341845  0.000337839           1.2494e-05        90.99      9.01            61              12               49          19.6721             80.3279
OKP4        MAX_AREA     PERIMETER    False                      68.15     0.000517893  0.000509501           2.09208e-05       68.15     31.85            61              18               43          29.5082             70.4918
OKP4        MAX_AREA     HEIGHT       True                       94.72     0.00044775   0.000430584           2.36854e-05       94.72      5.28            61              15               46          24.5902             75.4098
OKP4        MAX_AREA     HEIGHT       False                      70.55     0.00036664   0.000361443           1.57207e-05       70.55     29.45            61              15               46          24.5902             75.4098
OKP4        MAX_AREA     WIDTH        True                       82.15     0.000354719  0.000353575           1.0406e-05        82.15     17.85            61              15               46          24.5902             75.4098
OKP4        MAX_AREA     WIDTH        False                      76.85     0.000737238  0.000687361           0.000132178       76.85     23.15            61              23               38          37.7049             62.2951
OKP4        MAX_AREA     ID           True                       88.61     0.000365782  0.000362635           1.0014e-05        88.61     11.39            61              12               49          19.6721             80.3279
OKP4        MAX_AREA     ID           False                      78.41     0.000320768  0.000295639           4.43955e-05       78.41     21.59            61              12               49          19.6721             80.3279
OKP5        MAX_AREA     AREA         True                       86.82     0.000329733  0.000324011           1.59031e-05       86.82     13.18            97              11               86          11.3402             88.6598
OKP5        MAX_AREA     AREA         False                      58.74     0.000707722  0.000699997           2.01351e-05       58.74     41.26            97              22               75          22.6804             77.3196
OKP5        MAX_AREA     PERIMETER    True                       96.27     0.000255251  0.000249147           1.3506e-05        96.27      3.73            97              12               85          12.3711             87.6289
OKP5        MAX_AREA     PERIMETER    False                      69.06     0.000460052  0.000451565           1.68672e-05       69.06     30.94            97              17               80          17.5258             82.4742
OKP5        MAX_AREA     HEIGHT       True                       92.46     0.000409222  0.000402689           1.35665e-05       92.46      7.54            97              12               85          12.3711             87.6289
OKP5        MAX_AREA     HEIGHT       False                      79.11     0.000539827  0.000530243           2.03098e-05       79.11     20.89            97              18               79          18.5567             81.4433
OKP5        MAX_AREA     WIDTH        True                       98.17     0.000410271  0.000406027           1.31233e-05       98.17      1.83            97              17               80          17.5258             82.4742
OKP5        MAX_AREA     WIDTH        False                      74.86     0.0008008    0.000794172           1.6351e-05        74.86     25.14            97              24               73          24.7423             75.2577
OKP5        MAX_AREA     ID           True                       77.06     0.00061326   0.000603199           2.26923e-05       77.06     22.94            97              20               77          20.6186             79.3814
OKP5        MAX_AREA     ID           False                      66.86     0.000523663  0.000516415           1.41755e-05       66.86     33.14            97              16               81          16.4948             83.5052
